,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
2849,0.0,Saint Francis University,0.05-0.06,0.17-0.18,27000.0,56242.0,0.7305,0.6477,0.8532,56920.0
2850,0.0,Saint Joseph's University,0.05,0.10,24250.0,63376.0,0.8868,0.7328,0.8575,66438.0
2851,0.0,Saint Vincent College,0.05-0.09,0.15-0.19,25000.0,53487.0,0.7337,0.7025,0.84,47267.0
2852,0.0,Saint Vincent Seminary,0.05-0.09,0.15-0.19,25000.0,,,,,47267.0
2853,0.0,Schuylkill Technology Center,PS,PS,,,,,,46804.0
2854,0.0,University of Scranton,0.03-0.04,0.15-0.16,26000.0,65421.0,0.8435,0.7311,0.8512,62921.0
2855,0.0,Seton Hill University,0.05-0.09,0.05-0.09,23000.0,52892.0,0.7834,0.5612,0.7966,43700.0
2856,0.0,UPMC Shadyside School of Nursing,<=0.10,<=0.10,13411.0,24759.0,0.8421,,,66816.0
2857,0.0,Sharon Regional School of Nursing,PS,PS,3668.0,,,,,66049.0
2858,0.0,Laurel Technical Institute,PS,PS,9379.0,14952.0,0.952,,,24397.0
2859,0.0,Shippensburg University of Pennsylvania,0.10,0.09,16500.0,27961.0,0.878,0.3747,0.6854,45010.0
2860,0.0,Slippery Rock University of Pennsylvania,0.07,0.11,20498.0,24328.0,0.7433,0.5671,0.8231,45398.0
2861,0.0,Saint Charles Borromeo Seminary-Overbrook,PS,PS,,43331.0,0.75,0.75,0.8333,
2862,0.0,South Hills Beauty Academy,<=0.20,<=0.20,8027.0,,,,,22858.0
2863,0.0,South Hills School of Business & Technology,0.10-0.19,<=0.10,12000.0,32270.0,0.9787,,,33823.0
2864,0.0,St Lukes Hospital School of Nursing,PS,PS,9834.0,,,,,77819.0
2865,0.0,The Beauty Institute,PS,PS,,,,,,16568.0
2866,0.0,Susquehanna University,0.05-0.09,0.10-0.14,27000.0,69479.0,0.7669,0.6667,0.8541,51535.0
2867,0.0,Swarthmore College,<=0.20,0.40-0.59,9650.0,75793.0,0.0693,0.9494,0.9604,56211.0
